,ID,Sentimiento,Sentimiento_bayes
0,1,Neutro,neg
1,3,Neutro,pos
2,4,Neutro,pos
3,5,Positivo,pos
4,6,Neutro,pos
5,7,Neutro,neg
6,8,Neutro,pos
7,9,Neutro,pos
8,10,Neutro,pos
9,12,Neutro,pos
10,13,Neutro,neg
11,14,Neutro,pos
12,15,Neutro,pos
13,16,Neutro,pos
14,17,Positivo,neg
15,18,Neutro,pos
16,19,Neutro,pos
17,20,Neutro,neg
18,22,Neutro,neg
19,24,Neutro,neg
20,25,Positivo,neg
21,26,Positivo,pos
22,27,Neutro,neg
23,28,Neutro,pos
24,29,Neutro,neg
25,30,Neutro,neg
26,31,Positivo,pos
27,32,Positivo,neg
28,33,Neutro,neg
29,34,Neutro,pos
30,35,Neutro,neg
31,36,Positivo,pos
32,37,Positivo,pos
33,38,Positivo,pos
34,39,Positivo,neg
35,40,Positivo,pos
36,41,Neutro,pos
37,43,Positivo,pos
38,44,Neutro,neg
39,45,Positivo,pos
40,46,Positivo,neg
41,47,Positivo,pos
42,48,Neutro,pos
43,49,Positivo,pos
44,52,Neutro,neg
45,53,Positivo,pos
46,54,Neutro,neg
47,55,Positivo,pos
48,56,Neutro,pos
49,57,Neutro,neg
50,58,Neutro,neg
51,60,Neutro,pos
52,61,Positivo,pos
53,62,Positivo,neg
54,63,Positivo,pos
55,64,Positivo,pos
56,65,Positivo,pos
57,66,Neutro,pos
58,67,Positivo,pos
59,68,Neutro,neg
60,69,Positivo,pos
61,71,Neutro,neg
62,72,Positivo,pos
63,74,Positivo,pos
64,75,Neutro,pos
65,78,Neutro,pos
66,80,Positivo,pos
67,81,Neutro,neg
68,83,Neutro,neg
69,85,Positivo,pos
70,86,Neutro,neg
71,87,Positivo,pos
72,88,Neutro,neg
73,89,Neutro,neg
74,90,Neutro,pos
75,92,Neutro,pos
76,93,Neutro,pos
77,94,Positivo,pos
78,95,Positivo,pos
79,96,Positivo,pos
80,97,Neutro,neg
81,98,Positivo,pos
82,99,Neutro,pos
83,100,Positivo,pos
84,101,Neutro,pos
85,102,Neutro,pos
86,104,Neutro,neg
87,105,Neutro,neg
88,107,Neutro,pos
89,108,Neutro,neg
90,110,Positivo,pos
91,114,Positivo,pos
92,115,Positivo,pos
93,116,Neutro,pos
94,117,Neutro,neg
95,118,Neutro,neg
96,119,Positivo,pos
97,120,Positivo,pos
98,121,Neutro,neg
99,122,Neutro,pos
100,123,Neutro,neg
101,124,Positivo,pos
102,125,Neutro,pos
103,126,Neutro,pos
104,127,Positivo,pos
105,128,Negativo,pos
106,132,Positivo,pos
107,133,Neutro,pos
108,134,Neutro,pos
109,140,Neutro,pos
110,142,Neutro,neg
111,143,Positivo,pos
112,144,Neutro,pos
